,company_name,name_of_revenue_stream,paid_to,value_reported
0,Richest Gems CoLtd,Production Royalties,Myanmar Gems Enterprise,86026700.0
0,Richest Gems CoLtd,Production Royalties,Department of Mines,0.0
0,Richest Gems CoLtd,Permit Fees,Myanmar Gems Enterprise,60160000.0
0,Richest Gems CoLtd,Incentive Fees,Myanmar Gems Enterprise,137814411.44
0,Richest Gems CoLtd,Commercial Tax,Myanmar Gems Enterprise,2464310128.54
0,Richest Gems CoLtd,Corporate Income Tax,Internal Revenue Department,68764600.0
0,Richest Gems CoLtd,Commercial Tax,Internal Revenue Department,0.0
0,Richest Gems CoLtd,Customs Duties,Customs Department,71223104.0
0,Richest Gems CoLtd,Sales Royalties,Internal Revenue Department,0.0
0,Myat Yamon Gems CoLtd,Sale Split,Myanmar Gems Enterprise,3345571227.92
0,Myat Yamon Gems CoLtd,Sales Royalties,Myanmar Gems Enterprise,1034038231.68
0,Myat Yamon Gems CoLtd,Emporium Fees,Central Comittee,152292690.1
0,Myat Yamon Gems CoLtd,Other significant payments,Myanmar Gems Enterprise,0.0
0,Myat Yamon Gems CoLtd,Production Royalties,Myanmar Gems Enterprise,114550760.0
0,Myat Yamon Gems CoLtd,Production Royalties,Department of Mines,0.0
0,Myat Yamon Gems CoLtd,Permit Fees,Myanmar Gems Enterprise,7200000.0
0,Myat Yamon Gems CoLtd,Incentive Fees,Myanmar Gems Enterprise,132947540.76
0,Myat Yamon Gems CoLtd,Commercial Tax,Myanmar Gems Enterprise,2399005097.24
0,Myat Yamon Gems CoLtd,Corporate Income Tax,Internal Revenue Department,5605202.0
0,Myat Yamon Gems CoLtd,Commercial Tax,Internal Revenue Department,2481298.5
0,Myat Yamon Gems CoLtd,Customs Duties,Customs Department,1671317.0
0,Myat Yamon Gems CoLtd,Sales Royalties,Internal Revenue Department,0.0
0,Yadanar Taung Tann Gems,Sale Split,Myanmar Gems Enterprise,3234747722.92
0,Yadanar Taung Tann Gems,Sales Royalties,Myanmar Gems Enterprise,927543309.88
0,Yadanar Taung Tann Gems,Emporium Fees,Central Comittee,130367350.34
0,Yadanar Taung Tann Gems,Other significant payments,Myanmar Gems Enterprise,0.0
0,Yadanar Taung Tann Gems,Production Royalties,Myanmar Gems Enterprise,698498790.0
0,Yadanar Taung Tann Gems,Production Royalties,Department of Mines,0.0
0,Yadanar Taung Tann Gems,Permit Fees,Myanmar Gems Enterprise,0.0
0,Yadanar Taung Tann Gems,Incentive Fees,Myanmar Gems Enterprise,119255916.24
0,Yadanar Taung Tann Gems,Commercial Tax,Myanmar Gems Enterprise,2156137807.44
0,Yadanar Taung Tann Gems,Corporate Income Tax,Internal Revenue Department,1075540.0
0,Yadanar Taung Tann Gems,Commercial Tax,Internal Revenue Department,0.0
0,Yadanar Taung Tann Gems,Customs Duties,Customs Department,0.0
0,Yadanar Taung Tann Gems,Sales Royalties,Internal Revenue Department,0.0
0,Khin Zaw Aung Brothers Gems Jewellery,Sale Split,Myanmar Gems Enterprise,3222131476.9
0,Khin Zaw Aung Brothers Gems Jewellery,Sales Royalties,Myanmar Gems Enterprise,756529211.4
0,Khin Zaw Aung Brothers Gems Jewellery,Emporium Fees,Central Comittee,133666929.94
0,Khin Zaw Aung Brothers Gems Jewellery,Other significant payments,Myanmar Gems Enterprise,0.0
0,Khin Zaw Aung Brothers Gems Jewellery,Production Royalties,Myanmar Gems Enterprise,582410280.0
0,Khin Zaw Aung Brothers Gems Jewellery,Production Royalties,Department of Mines,0.0
0,Khin Zaw Aung Brothers Gems Jewellery,Permit Fees,Myanmar Gems Enterprise,0.0
0,Khin Zaw Aung Brothers Gems Jewellery,Incentive Fees,Myanmar Gems Enterprise,97268427.94
0,Khin Zaw Aung Brothers Gems Jewellery,Commercial Tax,Myanmar Gems Enterprise,2169771043.64
0,Khin Zaw Aung Brothers Gems Jewellery,Corporate Income Tax,Internal Revenue Department,2000000.0
0,Khin Zaw Aung Brothers Gems Jewellery,Commercial Tax,Internal Revenue Department,0.0
0,Khin Zaw Aung Brothers Gems Jewellery,Customs Duties,Customs Department,0.0
0,Khin Zaw Aung Brothers Gems Jewellery,Sales Royalties,Internal Revenue Department,0.0
0,Yar Za Htar Ne Gems CoLtd,Sale Split,Myanmar Gems Enterprise,3571692543.04
0,Yar Za Htar Ne Gems CoLtd,Sales Royalties,Myanmar Gems Enterprise,941233581.74
0,Yar Za Htar Ne Gems CoLtd,Emporium Fees,Central Comittee,140797522.9
0,Yar Za Htar Ne Gems CoLtd,Other significant payments,Myanmar Gems Enterprise,0.0
0,Yar Za Htar Ne Gems CoLtd,Production Royalties,Myanmar Gems Enterprise,233617775.0
0,Yar Za Htar Ne Gems CoLtd,Production Royalties,Department of Mines,0.0
0,Yar Za Htar Ne Gems CoLtd,Permit Fees,Myanmar Gems Enterprise,0.0
0,Yar Za Htar Ne Gems CoLtd,Incentive Fees,Myanmar Gems Enterprise,121015726.9
0,Yar Za Htar Ne Gems CoLtd,Commercial Tax,Myanmar Gems Enterprise,2363539335.86
0,Yar Za Htar Ne Gems CoLtd,Corporate Income Tax,Internal Revenue Department,641221710.0
0,Yar Za Htar Ne Gems CoLtd,Commercial Tax,Internal Revenue Department,1215060.0
0,Yar Za Htar Ne Gems CoLtd,Customs Duties,Customs Department,374823558.0
0,Yar Za Htar Ne Gems CoLtd,Sales Royalties,Internal Revenue Department,1781683852.56
0,Kachin National Development,Sale Split,Myanmar Gems Enterprise,2377021092.52
0,Kachin National Development,Sales Royalties,Myanmar Gems Enterprise,724498222.6
0,Kachin National Development,Emporium Fees,Central Comittee,98640437.7
0,Kachin National Development,Other significant payments,Myanmar Gems Enterprise,0.0
0,Kachin National Development,Production Royalties,Myanmar Gems Enterprise,0.0
0,Kachin National Development,Production Royalties,Department of Mines,57484770.0
0,Kachin National Development,Permit Fees,Myanmar Gems Enterprise,164200000.0
0,Kachin National Development,Incentive Fees,Myanmar Gems Enterprise,93149578.24
0,Kachin National Development,Commercial Tax,Myanmar Gems Enterprise,1609873117.08
0,Kachin National Development,Corporate Income Tax,Internal Revenue Department,0.0
0,Kachin National Development,Commercial Tax,Internal Revenue Department,0.0
0,Kachin National Development,Customs Duties,Customs Department,0.0
0,Kachin National Development,Sales Royalties,Internal Revenue Department,0.0
0,Myanmar Imperial JadeGems Jewellery,Sale Split,Myanmar Gems Enterprise,0.0
0,Myanmar Imperial JadeGems Jewellery,Sales Royalties,Myanmar Gems Enterprise,289155422.88
0,Myanmar Imperial JadeGems Jewellery,Emporium Fees,Central Comittee,374011382.92
0,Myanmar Imperial JadeGems Jewellery,Other significant payments,Myanmar Gems Enterprise,0.0
0,Myanmar Imperial JadeGems Jewellery,Production Royalties,Myanmar Gems Enterprise,0.0
0,Myanmar Imperial JadeGems Jewellery,Production Royalties,Department of Mines,766787040.0
0,Myanmar Imperial JadeGems Jewellery,Permit Fees,Myanmar Gems Enterprise,371800000.0
0,Myanmar Imperial JadeGems Jewellery,Incentive Fees,Myanmar Gems Enterprise,0.0
0,Myanmar Imperial JadeGems Jewellery,Commercial Tax,Myanmar Gems Enterprise,4917444532.26
0,Myanmar Imperial JadeGems Jewellery,Corporate Income Tax,Internal Revenue Department,1800811391.0
0,Myanmar Imperial JadeGems Jewellery,Commercial Tax,Internal Revenue Department,0.0
0,Myanmar Imperial JadeGems Jewellery,Customs Duties,Customs Department,4917671.0
0,Myanmar Imperial JadeGems Jewellery,Sales Royalties,Internal Revenue Department,0.0
0,Myo Nwe Gems Jewellery,Sale Split,Myanmar Gems Enterprise,2076181745.04
0,Myo Nwe Gems Jewellery,Sales Royalties,Myanmar Gems Enterprise,651207045.82
0,Myo Nwe Gems Jewellery,Emporium Fees,Central Comittee,102304964.62
0,Myo Nwe Gems Jewellery,Other significant payments,Myanmar Gems Enterprise,0.0
0,Myo Nwe Gems Jewellery,Production Royalties,Myanmar Gems Enterprise,129831160.0
0,Myo Nwe Gems Jewellery,Production Royalties,Department of Mines,0.0
0,Myo Nwe Gems Jewellery,Permit Fees,Myanmar Gems Enterprise,57300000.0
0,Myo Nwe Gems Jewellery,Incentive Fees,Myanmar Gems Enterprise,83726948.68
0,Myo Nwe Gems Jewellery,Commercial Tax,Myanmar Gems Enterprise,1613807279.22
0,Myo Nwe Gems Jewellery,Corporate Income Tax,Internal Revenue Department,3950392.0
0,Myo Nwe Gems Jewellery,Commercial Tax,Internal Revenue Department,692281.0
0,Myo Nwe Gems Jewellery,Customs Duties,Customs Department,11700236.0
