,company_name,name_of_revenue_stream,paid_to,value_reported
0,Linn Lett Win Yadanar Gems,Incentive Fees,Myanmar Gems Enterprise,99231769.78
0,Linn Lett Win Yadanar Gems,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Linn Lett Win Yadanar Gems,Corporate Income Tax,Internal Revenue Department,56357457.0
0,Linn Lett Win Yadanar Gems,Commercial Tax,Internal Revenue Department,332581321.0
0,Linn Lett Win Yadanar Gems,Customs Duties,Customs Department,54064131.0
0,Linn Lett Win Yadanar Gems,Sales Royalties,Internal Revenue Department,0.0
0,Yadanar Taung Tann Gems,Sale Split,Myanmar Gems Enterprise,3378206082.92
0,Yadanar Taung Tann Gems,Sales Royalties,Myanmar Gems Enterprise,633744883.2
0,Yadanar Taung Tann Gems,Emporium Fees,Central Comittee,95718791.91
0,Yadanar Taung Tann Gems,Other significant payments,Myanmar Gems Enterprise,0.0
0,Yadanar Taung Tann Gems,Production Royalties,Myanmar Gems Enterprise,174826640.0
0,Yadanar Taung Tann Gems,Production Royalties,Department of Mines,0.0
0,Yadanar Taung Tann Gems,Permit Fees,Myanmar Gems Enterprise,0.0
0,Yadanar Taung Tann Gems,Incentive Fees,Myanmar Gems Enterprise,81482024.91
0,Yadanar Taung Tann Gems,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Yadanar Taung Tann Gems,Corporate Income Tax,Internal Revenue Department,855086.0
0,Yadanar Taung Tann Gems,Commercial Tax,Internal Revenue Department,0.0
0,Yadanar Taung Tann Gems,Customs Duties,Customs Department,0.0
0,Yadanar Taung Tann Gems,Sales Royalties,Internal Revenue Department,0.0
0,Khin Zaw Aung Brothers Gems Jewellery,Sale Split,Myanmar Gems Enterprise,3283564592.31
0,Khin Zaw Aung Brothers Gems Jewellery,Sales Royalties,Myanmar Gems Enterprise,700946735.06
0,Khin Zaw Aung Brothers Gems Jewellery,Emporium Fees,Central Comittee,108834145.05
0,Khin Zaw Aung Brothers Gems Jewellery,Other significant payments,Myanmar Gems Enterprise,0.0
0,Khin Zaw Aung Brothers Gems Jewellery,Production Royalties,Myanmar Gems Enterprise,158770500.0
0,Khin Zaw Aung Brothers Gems Jewellery,Production Royalties,Department of Mines,0.0
0,Khin Zaw Aung Brothers Gems Jewellery,Permit Fees,Myanmar Gems Enterprise,0.0
0,Khin Zaw Aung Brothers Gems Jewellery,Incentive Fees,Myanmar Gems Enterprise,77590410.04
0,Khin Zaw Aung Brothers Gems Jewellery,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Khin Zaw Aung Brothers Gems Jewellery,Corporate Income Tax,Internal Revenue Department,0.0
0,Khin Zaw Aung Brothers Gems Jewellery,Commercial Tax,Internal Revenue Department,0.0
0,Khin Zaw Aung Brothers Gems Jewellery,Customs Duties,Customs Department,0.0
0,Khin Zaw Aung Brothers Gems Jewellery,Sales Royalties,Internal Revenue Department,0.0
0,Shwe Gaung Gaung Gems,Sale Split,Myanmar Gems Enterprise,2894515508.65
0,Shwe Gaung Gaung Gems,Sales Royalties,Myanmar Gems Enterprise,537779852.61
0,Shwe Gaung Gaung Gems,Emporium Fees,Central Comittee,122950196.89
0,Shwe Gaung Gaung Gems,Other significant payments,Myanmar Gems Enterprise,0.0
0,Shwe Gaung Gaung Gems,Production Royalties,Myanmar Gems Enterprise,132479220.0
0,Shwe Gaung Gaung Gems,Production Royalties,Department of Mines,0.0
0,Shwe Gaung Gaung Gems,Permit Fees,Myanmar Gems Enterprise,0.0
0,Shwe Gaung Gaung Gems,Incentive Fees,Myanmar Gems Enterprise,67568462.39
0,Shwe Gaung Gaung Gems,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Shwe Gaung Gaung Gems,Corporate Income Tax,Internal Revenue Department,0.0
0,Shwe Gaung Gaung Gems,Commercial Tax,Internal Revenue Department,0.0
0,Shwe Gaung Gaung Gems,Customs Duties,Customs Department,0.0
0,Shwe Gaung Gaung Gems,Sales Royalties,Internal Revenue Department,0.0
0,Xie Family,Sale Split,Myanmar Gems Enterprise,2651799789.21
0,Xie Family,Sales Royalties,Myanmar Gems Enterprise,526150361.88
0,Xie Family,Emporium Fees,Central Comittee,67647831.68
0,Xie Family,Other significant payments,Myanmar Gems Enterprise,0.0
0,Xie Family,Production Royalties,Myanmar Gems Enterprise,0.0
0,Xie Family,Production Royalties,Department of Mines,0.0
0,Xie Family,Permit Fees,Myanmar Gems Enterprise,0.0
0,Xie Family,Incentive Fees,Myanmar Gems Enterprise,67647831.68
0,Xie Family,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Xie Family,Corporate Income Tax,Internal Revenue Department,0.0
0,Xie Family,Commercial Tax,Internal Revenue Department,0.0
0,Xie Family,Customs Duties,Customs Department,0.0
0,Xie Family,Sales Royalties,Internal Revenue Department,0.0
0,Great Genesis Gems Co Ltd,Sale Split,Myanmar Gems Enterprise,2253889357.44
0,Great Genesis Gems Co Ltd,Sales Royalties,Myanmar Gems Enterprise,433633486.0
0,Great Genesis Gems Co Ltd,Emporium Fees,Central Comittee,64434608.67
0,Great Genesis Gems Co Ltd,Other significant payments,Myanmar Gems Enterprise,0.0
0,Great Genesis Gems Co Ltd,Production Royalties,Myanmar Gems Enterprise,0.0
0,Great Genesis Gems Co Ltd,Production Royalties,Department of Mines,0.0
0,Great Genesis Gems Co Ltd,Permit Fees,Myanmar Gems Enterprise,0.0
0,Great Genesis Gems Co Ltd,Incentive Fees,Myanmar Gems Enterprise,55752516.82
0,Great Genesis Gems Co Ltd,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Great Genesis Gems Co Ltd,Corporate Income Tax,Internal Revenue Department,16354443.0
0,Great Genesis Gems Co Ltd,Commercial Tax,Internal Revenue Department,0.0
0,Great Genesis Gems Co Ltd,Customs Duties,Customs Department,0.0
0,Great Genesis Gems Co Ltd,Sales Royalties,Internal Revenue Department,0.0
0,Richest Gems CoLtd,Sale Split,Myanmar Gems Enterprise,2148685458.86
0,Richest Gems CoLtd,Sales Royalties,Myanmar Gems Enterprise,450707961.99
0,Richest Gems CoLtd,Emporium Fees,Central Comittee,68750536.51
0,Richest Gems CoLtd,Other significant payments,Myanmar Gems Enterprise,0.0
0,Richest Gems CoLtd,Production Royalties,Myanmar Gems Enterprise,8494740.0
0,Richest Gems CoLtd,Production Royalties,Department of Mines,0.0
0,Richest Gems CoLtd,Permit Fees,Myanmar Gems Enterprise,0.0
0,Richest Gems CoLtd,Incentive Fees,Myanmar Gems Enterprise,51249884.4
0,Richest Gems CoLtd,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Richest Gems CoLtd,Corporate Income Tax,Internal Revenue Department,0.0
0,Richest Gems CoLtd,Commercial Tax,Internal Revenue Department,0.0
0,Richest Gems CoLtd,Customs Duties,Customs Department,0.0
0,Richest Gems CoLtd,Sales Royalties,Internal Revenue Department,0.0
0,Kyaing International Gems,Sale Split,Myanmar Gems Enterprise,2138639612.88
0,Kyaing International Gems,Sales Royalties,Myanmar Gems Enterprise,336487994.7
0,Kyaing International Gems,Emporium Fees,Central Comittee,79387076.86
0,Kyaing International Gems,Other significant payments,Myanmar Gems Enterprise,0.0
0,Kyaing International Gems,Production Royalties,Myanmar Gems Enterprise,56112835.0
0,Kyaing International Gems,Production Royalties,Department of Mines,0.0
0,Kyaing International Gems,Permit Fees,Myanmar Gems Enterprise,0.0
0,Kyaing International Gems,Incentive Fees,Myanmar Gems Enterprise,43262562.2
0,Kyaing International Gems,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Kyaing International Gems,Corporate Income Tax,Internal Revenue Department,0.0
0,Kyaing International Gems,Commercial Tax,Internal Revenue Department,0.0
0,Kyaing International Gems,Customs Duties,Customs Department,0.0
0,Kyaing International Gems,Sales Royalties,Internal Revenue Department,0.0
0,Phyo Thiha Kyaw Gems,Sale Split,Myanmar Gems Enterprise,2050593420.35
0,Phyo Thiha Kyaw Gems,Sales Royalties,Myanmar Gems Enterprise,381096055.34
0,Phyo Thiha Kyaw Gems,Emporium Fees,Central Comittee,59180758.19
0,Phyo Thiha Kyaw Gems,Other significant payments,Myanmar Gems Enterprise,0.0
0,Phyo Thiha Kyaw Gems,Production Royalties,Myanmar Gems Enterprise,15208380.0
0,Phyo Thiha Kyaw Gems,Production Royalties,Department of Mines,0.0
0,Phyo Thiha Kyaw Gems,Permit Fees,Myanmar Gems Enterprise,0.0
0,Phyo Thiha Kyaw Gems,Incentive Fees,Myanmar Gems Enterprise,48951954.48
